เลขที่ T/O,เลขที่ TR,หมายเลขอ้างอิง,PO Number,รหัสสินค้า,สินค้า,จำนวน,Sale Unit,จำนวน,Base Unit,คงเหลือ (Sale Unit),คงเหลือ (Base Unit),วันที่ต้องการให้ขน,เวลาต้องการให้ขน,วันที่ Completed,เวลา Completed,ความสำคัญ,Location Delivery Type,รหัสลูกค้า,ชื่อลูกค้า,รหัสสถานที่ขนต้นทางจริง,สถานที่ขนต้นทางจริง,รหัสสถานที่รับปลายทางจริง,สถานที่รับปลายทางจริง,TiHi,Pallet,Portion Pallet,สถานะ,เหตุผลที่ Rejected,สร้างโดย,วันที่สร้างเอกสาร,เวลาสร้างเอกสาร,Channel,Product List,วันที่ลูกค้าต้องการ,เวลาลูกค้าต้องการ,วันที่ Sale ยืนยัน,เวลา Sale ยืนยัน,หมายเหตุ Plan,ประเภทรถ,Batch,ทะเบียนรถ,พนักงานขับรถ,Engineering Change,PO_Type
TO2505030133,OS-OMSAP-2505030600,CV08-TG6805-0247,,ZS726118,เอส เพลย์ กามิกาเซ่ 360 ซีซี Pack12*1,20,ลัง,0,ขวด,0,0,,,14/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7586,ศูนย์กระจายสินค้าภูมิภาค ทุ่งสง,4608G011,CV นครศรีธรรมราช-G,10,24,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:55,CV,C,14/05/2025,15:00,03/05/2025,11:52:01,,,,,,,
TO2505030133,OS-OMSAP-2505030600,CV08-TG6805-0247,,ZS770106,เอส โคล่า 359 cc Pack12x1,20,ลัง,0,ขวด,0,0,,,14/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7586,ศูนย์กระจายสินค้าภูมิภาค ทุ่งสง,4608G011,CV นครศรีธรรมราช-G,150,1,90,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:55,CV,C,14/05/2025,15:00,03/05/2025,11:52:01,,,,,,,
TO2505030133,OS-OMSAP-2505030600,CV08-TG6805-0247,,ZS726125,เอส เพลย์ ซอลตี้ลิ้นจี่ พลัสวิตามินบี 360 ซีซี Pack12*1,10,ลัง,0,ขวด,0,0,,,14/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7586,ศูนย์กระจายสินค้าภูมิภาค ทุ่งสง,4608G011,CV นครศรีธรรมราช-G,13,9,3,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:55,CV,C,14/05/2025,15:00,03/05/2025,11:52:01,,,,,,,
TO2505030133,OS-OMSAP-2505030600,CV08-TG6805-0247,,ZS770113,เอส เพลย์ เกรปเบอร์รี่ 359 ซีซี Pack12x1,20,ลัง,0,ขวด,0,0,,,14/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7586,ศูนย์กระจายสินค้าภูมิภาค ทุ่งสง,4608G011,CV นครศรีธรรมราช-G,150,1,90,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:55,CV,C,14/05/2025,15:00,03/05/2025,11:52:01,,,,,,,
TO2505030133,OS-OMSAP-2505030600,CV08-TG6805-0247,,ZS706125,เอส เพลย์ ซอลตี้ลิ้นจี่ พลัสวิตามินบี 1 ลิตร,5,ลัง,0,ขวด,0,0,,,14/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7586,ศูนย์กระจายสินค้าภูมิภาค ทุ่งสง,4608G011,CV นครศรีธรรมราช-G,6,10,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:55,CV,C,14/05/2025,15:00,03/05/2025,11:52:01,,,,,,,
TO2505030178,OS-OMSAP-2505030633,CV08-TG6805-0252,,ZS770108,เอส ครีมโซดา 359 ซีซี Pack12x1,20,ลัง,0,ขวด,20,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,13,18,6,OPEN,,OMSAP,03/05/2025,13:20,CV,C,15/05/2025,15:00,03/05/2025,13:19:55,,,,,,,
TO2505030178,OS-OMSAP-2505030633,CV08-TG6805-0252,,ZS770106,เอส โคล่า 359 cc Pack12x1,20,ลัง,0,ขวด,20,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,150,1,90,OPEN,,OMSAP,03/05/2025,13:20,CV,C,15/05/2025,15:00,03/05/2025,13:19:55,,,,,,,
TO2505030178,OS-OMSAP-2505030633,CV08-TG6805-0252,,ZS725402,น้ำดื่มคริสตัล 600cc 12NR,100,ลัง,0,ขวด,100,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,10,120,0,OPEN,,OMSAP,03/05/2025,13:20,CV,C,15/05/2025,15:00,03/05/2025,13:19:55,,,,,,,
TO2505030178,OS-OMSAP-2505030633,CV08-TG6805-0252,,ZS770109,เอส สตรอเบอร์รี่ 359 ซีซี Pack12x1,20,ลัง,0,ขวด,20,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,13,18,6,OPEN,,OMSAP,03/05/2025,13:20,CV,C,15/05/2025,15:00,03/05/2025,13:19:55,,,,,,,
TO2505030178,OS-OMSAP-2505030633,CV08-TG6805-0252,,319900232,แรงเยอร์ 150 ซีซี,5,กล่อง,0,ขวด,5,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,80,3,10,OPEN,,OMSAP,03/05/2025,13:20,CV,C,15/05/2025,15:00,03/05/2025,13:19:55,,,,,,,
TO2505030178,OS-OMSAP-2505030633,CV08-TG6805-0252,,ZS770113,เอส เพลย์ เกรปเบอร์รี่ 359 ซีซี Pack12x1,10,ลัง,0,ขวด,10,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,150,0,120,OPEN,,OMSAP,03/05/2025,13:20,CV,C,15/05/2025,15:00,03/05/2025,13:19:55,,,,,,,
TO2505030199,OS-OMSAP-2505030636,CV08-TG6805-0253,,ZS770108,เอส ครีมโซดา 359 ซีซี Pack12x1,20,ลัง,0,ขวด,0,0,,,15/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90771,คลังชุมพร,4608G008,CV เมืองระนอง-G,13,18,6,DELIVERY_COMPLETED,,OMSAP,03/05/2025,13:25,CV,C,15/05/2025,15:00,03/05/2025,13:22:16,,,,,,,
TO2505030199,OS-OMSAP-2505030636,CV08-TG6805-0253,,ZS770106,เอส โคล่า 359 cc Pack12x1,20,ลัง,0,ขวด,0,0,,,15/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90771,คลังชุมพร,4608G008,CV เมืองระนอง-G,150,1,90,DELIVERY_COMPLETED,,OMSAP,03/05/2025,13:25,CV,C,15/05/2025,15:00,03/05/2025,13:22:16,,,,,,,
TO2505030199,OS-OMSAP-2505030636,CV08-TG6805-0253,,ZS725402,น้ำดื่มคริสตัล 600cc 12NR,100,ลัง,0,ขวด,0,0,,,15/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90771,คลังชุมพร,4608G008,CV เมืองระนอง-G,10,120,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,13:25,CV,C,15/05/2025,15:00,03/05/2025,13:22:16,,,,,,,
